PERMNO,date,TICKER,SHROUT
86288,2017-05-31,CSGP,32749
86288,2017-06-30,CSGP,32821
86288,2017-07-31,CSGP,32821
86288,2017-08-31,CSGP,32821
86288,2017-09-29,CSGP,36145
86288,2017-10-31,CSGP,36145
86288,2017-11-30,CSGP,36145
86288,2017-12-29,CSGP,36107
86288,2018-01-31,CSGP,36107
86288,2018-02-28,CSGP,36095
86288,2018-03-29,CSGP,36392
86288,2018-04-30,CSGP,36392
86288,2018-05-31,CSGP,36392
86288,2018-06-29,CSGP,36391
86288,2018-07-31,CSGP,36391
86288,2018-08-31,CSGP,36391
86288,2018-09-28,CSGP,36420
86288,2018-10-31,CSGP,36420
86288,2018-11-30,CSGP,36420
86288,2018-12-31,CSGP,36446
86288,2019-01-31,CSGP,36446
86288,2019-02-28,CSGP,36452
86288,2019-03-29,CSGP,36542
86288,2019-04-30,CSGP,36542
86288,2019-05-31,CSGP,36542
86288,2019-06-28,CSGP,36549
86288,2019-07-31,CSGP,36549
86288,2019-08-30,CSGP,36549
86288,2019-09-30,CSGP,36635
86288,2019-10-31,CSGP,36635
86288,2019-11-29,CSGP,36635
86288,2019-12-31,CSGP,36668
86288,2020-01-31,CSGP,36668
86288,2020-02-28,CSGP,36645
86288,2020-03-31,CSGP,36726
86288,2020-04-30,CSGP,36726
86288,2020-05-29,CSGP,39017
86288,2020-06-30,CSGP,39367
86288,2020-07-31,CSGP,39367
86288,2020-08-31,CSGP,39367
86288,2020-09-30,CSGP,39418
86288,2020-10-30,CSGP,39418
86288,2020-11-30,CSGP,39418
86288,2020-12-31,CSGP,39414
86288,2021-01-29,CSGP,39414
86288,2021-02-26,CSGP,39410
86288,2021-03-31,CSGP,39494
86288,2021-04-30,CSGP,39494
86288,2021-05-28,CSGP,39494
86288,2021-06-30,CSGP,394955
86288,2021-07-30,CSGP,394955
86288,2021-08-31,CSGP,394955
86288,2021-09-30,CSGP,394960
86288,2021-10-29,CSGP,394936
86288,2021-11-30,CSGP,394936
86288,2021-12-31,CSGP,394936
86288,2022-01-31,CSGP,394936
86288,2022-02-28,CSGP,394988
86288,2022-03-31,CSGP,395874
86288,2022-04-29,CSGP,396225
86288,2022-05-31,CSGP,396225
86288,2022-06-30,CSGP,395949
86288,2022-07-29,CSGP,395949
86288,2022-08-31,CSGP,395949
86288,2022-09-30,CSGP,406690
86288,2022-10-31,CSGP,406690
86288,2022-11-30,CSGP,406690
86288,2022-12-30,CSGP,406690
86339,2000-03-31,TWRS,148813
86339,2000-04-28,TWRS,148813
86339,2000-05-31,TWRS,154327
86339,2000-06-30,TWRS,166199
86339,2000-07-31,TWRS,166199
86339,2000-08-31,TWRS,196085
86339,2000-09-29,TWRS,197197
86339,2000-10-31,TWRS,197197
86339,2000-11-30,TWRS,198245
86339,2000-12-29,TWRS,198912
86339,2001-01-31,TWRS,198912
86339,2001-02-28,TWRS,198912
86339,2001-03-30,TWRS,213363
86339,2001-04-30,CCI,213363
86339,2001-05-31,CCI,213772
86339,2001-06-29,CCI,213772
86339,2001-07-31,CCI,213772
86339,2001-08-31,CCI,214531
86339,2001-09-28,CCI,214531
86339,2001-10-31,CCI,214531
86339,2001-11-30,CCI,215824
86339,2001-12-31,CCI,215824
86339,2002-01-31,CCI,215824
86339,2002-02-28,CCI,215824
86339,2002-03-28,CCI,215824
86339,2002-04-30,CCI,220388
86339,2002-05-31,CCI,220389
86339,2002-06-28,CCI,220389
86339,2002-07-31,CCI,220389
86339,2002-08-30,CCI,212990
86339,2002-09-30,CCI,212990
86339,2002-10-31,CCI,212990
86339,2002-11-29,CCI,214047
86339,2002-12-31,CCI,214047
86339,2003-01-31,CCI,214047
86339,2003-02-28,CCI,214047
86339,2003-03-31,CCI,223652
86339,2003-04-30,CCI,223662
86339,2003-05-30,CCI,223662
86339,2003-06-30,CCI,219015
86339,2003-07-31,CCI,219015
86339,2003-08-29,CCI,218534
86339,2003-09-30,CCI,218534
86339,2003-10-31,CCI,218534
86339,2003-11-28,CCI,219850
86339,2003-12-31,CCI,219850
86339,2004-01-30,CCI,219850
86339,2004-02-27,CCI,219850
86339,2004-03-31,CCI,221326
86339,2004-04-30,CCI,222158
86339,2004-05-28,CCI,223378
86339,2004-06-30,CCI,223378
86339,2004-07-30,CCI,223378
86339,2004-08-31,CCI,225376
86339,2004-09-30,CCI,225376
86339,2004-10-29,CCI,225376
86339,2004-11-30,CCI,223591
86339,2004-12-31,CCI,223591
86339,2005-01-31,CCI,223591
86339,2005-02-28,CCI,223591
86339,2005-03-31,CCI,225048
86339,2005-04-29,CCI,225468
86339,2005-05-31,CCI,219075
86339,2005-06-30,CCI,219075
86339,2005-07-29,CCI,219075
86339,2005-08-31,CCI,217274
86339,2005-09-30,CCI,217274
86339,2005-10-31,CCI,217274
86339,2005-11-30,CCI,213435
86339,2005-12-30,CCI,213435
86339,2006-01-31,CCI,213435
86339,2006-02-28,CCI,213435
86339,2006-03-31,CCI,215763
86339,2006-04-28,CCI,216011
86339,2006-05-31,CCI,214900
86339,2006-06-30,CCI,214900
86339,2006-07-31,CCI,214900
86339,2006-08-31,CCI,201597
86339,2006-09-29,CCI,201597
86339,2006-10-31,CCI,201890
86339,2006-11-30,CCI,201935
86339,2006-12-29,CCI,201935
86339,2007-01-31,CCI,201935
86339,2007-02-28,CCI,282628
86339,2007-03-30,CCI,282779
86339,2007-04-30,CCI,282116
86339,2007-05-31,CCI,284453
86339,2007-06-29,CCI,284632
86339,2007-07-31,CCI,284632
86339,2007-08-31,CCI,284647
86339,2007-09-28,CCI,284647
86339,2007-10-31,CCI,284647
86339,2007-11-30,CCI,285202
86339,2007-12-31,CCI,285202
86339,2008-01-31,CCI,285202
86339,2008-02-29,CCI,281407
86339,2008-03-31,CCI,281407
86339,2008-04-30,CCI,282327
86339,2008-05-30,CCI,282427
86339,2008-06-30,CCI,282427
86339,2008-07-31,CCI,279600
86339,2008-08-29,CCI,286116
86339,2008-09-30,CCI,286116
86339,2008-10-31,CCI,286116
86339,2008-11-28,CCI,288697
86339,2008-12-31,CCI,288697
86339,2009-01-30,CCI,288697
86339,2009-02-27,CCI,288666
86339,2009-03-31,CCI,288666
86339,2009-04-30,CCI,290532
86339,2009-05-29,CCI,290848
86339,2009-06-30,CCI,290848
86339,2009-07-31,CCI,286500
86339,2009-08-31,CCI,291099
86339,2009-09-30,CCI,291099
86339,2009-10-30,CCI,291099
86339,2009-11-30,CCI,291206
86339,2009-12-31,CCI,291206
86339,2010-01-29,CCI,288600
86339,2010-02-26,CCI,292897
86339,2010-03-31,CCI,292897
86339,2010-04-30,CCI,286800
86339,2010-05-28,CCI,290439
86339,2010-06-30,CCI,290439
86339,2010-07-30,CCI,285800
86339,2010-08-31,CCI,290290
86339,2010-09-30,CCI,290290
86339,2010-10-29,CCI,290290
86339,2010-11-30,CCI,290756
86339,2010-12-31,CCI,290756
86339,2011-01-31,CCI,290756
86339,2011-02-28,CCI,290889
86339,2011-03-31,CCI,290889
86339,2011-04-29,CCI,291216
86339,2011-05-31,CCI,290431
86339,2011-06-30,CCI,290431
86339,2011-07-29,CCI,290431
86339,2011-08-31,CCI,286389
86339,2011-09-30,CCI,286389
86339,2011-10-31,CCI,282800
86339,2011-11-30,CCI,284496
86339,2011-12-30,CCI,284496
86339,2012-01-31,CCI,284496
86339,2012-02-29,CCI,284470
86339,2012-03-30,CCI,284470
86339,2012-04-30,CCI,292929
86339,2012-05-31,CCI,293011
86339,2012-06-29,CCI,293011
86339,2012-07-31,CCI,293011
86339,2012-08-31,CCI,293038
86339,2012-09-28,CCI,293038
86339,2012-10-31,CCI,293038
86339,2012-11-30,CCI,293159
86339,2012-12-31,CCI,293159
86339,2013-01-31,CCI,293159
86339,2013-02-28,CCI,293159
86339,2013-03-28,CCI,293159
86339,2013-04-30,CCI,293772
86339,2013-05-31,CCI,293770
86339,2013-06-28,CCI,293770
86339,2013-07-31,CCI,293770
86339,2013-08-30,CCI,292684
86339,2013-09-30,CCI,292684
86339,2013-10-31,CCI,328672
86339,2013-11-29,CCI,334070
86339,2013-12-31,CCI,334070
86339,2014-01-31,CCI,334070
86339,2014-02-28,CCI,334065
86339,2014-03-31,CCI,334065
86339,2014-04-30,CCI,333796
86339,2014-05-30,CCI,333795
86339,2014-06-30,CCI,333795
86339,2014-07-31,CCI,333861
86339,2014-08-29,CCI,333860
86339,2014-09-30,CCI,333860
86339,2014-10-31,CCI,333859
86339,2014-11-28,CCI,333858
86339,2014-12-31,CCI,333858
86339,2015-01-30,CCI,333857
86339,2015-02-27,CCI,333867
86339,2015-03-31,CCI,333867
86339,2015-04-30,CCI,333762
86339,2015-05-29,CCI,333761
86339,2015-06-30,CCI,333761
86339,2015-07-31,CCI,333762
86339,2015-08-31,CCI,333762
86339,2015-09-30,CCI,333762
