PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL
18163,02/26/2021,PG,123.53000,129.57001,123.53000,1509590
18163,03/31/2021,PG,122.15000,137.57001,135.42999,2065136
18163,04/30/2021,PG,131.17999,137.75000,133.42000,1668576
18163,05/28/2021,PG,133.46001,138.42999,134.85001,1979711
18163,06/30/2021,PG,132.03000,136.42000,134.92999,1862936
18163,07/30/2021,PG,135.24001,142.23000,142.23000,1520162
18163,08/31/2021,PG,141.41000,145.09000,142.39000,1252998
18163,09/30/2021,PG,139.80000,145.67999,139.80000,1480612
18163,10/29/2021,PG,138.78999,144.42000,142.99001,1371051
18163,11/30/2021,PG,142.64000,149.44000,144.58000,1380366
18163,12/31/2021,PG,146.39999,164.19000,163.58000,1901273
18163,01/31/2022,PG,156.73000,164.21001,160.45000,1951865
18163,02/28/2022,PG,151.75999,164.14000,155.89000,1557783
18163,03/31/2022,PG,143.22000,155.46001,152.80000,1702816
18163,04/29/2022,PG,154.08000,163.64999,160.55000,1519862
18163,05/31/2022,PG,141.70000,158.38000,147.88000,1692849
18163,06/30/2022,PG,132.36000,147.21001,143.78999,1685937
18163,07/29/2022,PG,138.91000,148.06000,138.91000,1311739
18163,08/31/2022,PG,137.94000,149.92999,137.94000,1375871
18163,09/30/2022,PG,126.25000,141.10001,126.25000,1478947
18163,10/31/2022,PG,123.76000,135.22000,134.67000,1447710
18163,11/30/2022,PG,132.03000,149.16000,149.16000,1338827
18163,12/30/2022,PG,149.09000,153.95000,151.56000,1322731
18224,01/31/2019,CTRA,62.88000,65.98000,64.38000,14198
18224,02/28/2019,CTRA,60.28000,64.60000,61.60000,11384
18224,03/29/2019,CTRA,54.94000,61.41000,57.92000,18152
18224,04/30/2019,CTRA,54.01000,60.28000,56.35000,37960
18224,05/31/2019,CTRA,52.65000,59.89000,52.65000,37480
18224,06/28/2019,CTRA,49.86000,53.78000,51.90000,61096
18224,07/31/2019,CTRA,35.83000,51.22000,35.83000,48991
18224,08/30/2019,CTRA,25.78000,33.17000,28.80000,54338
18224,09/30/2019,CTRA,27.57000,33.59000,27.96000,54480
18224,10/31/2019,CTRA,22.11000,25.20000,22.94000,34321
18224,11/29/2019,CTRA,6.67000,23.24000,6.67000,105463
18224,12/31/2019,CTRA,5.90000,9.38000,9.05000,78150
18224,01/31/2020,CTRA,5.79000,8.84000,5.79000,42594
18224,02/28/2020,CTRA,5.51000,7.46000,5.69000,38917
18224,03/31/2020,CTRA,2.10000,5.66000,2.35000,63720
18224,04/30/2020,CTRA,2.54000,4.10000,3.82000,54292
18224,05/29/2020,CTRA,2.73000,4.44000,3.84000,45075
18224,06/30/2020,CTRA,2.93000,5.78000,3.04000,107089
