permno,adate,qdate,public_date,GProf,TICKER
26710,2017-12-31,2018-09-30,2019-01-31,0.023,L
26710,2018-12-31,2018-12-31,2019-02-28,0.028,L
26710,2018-12-31,2018-12-31,2019-03-31,0.028,L
26710,2018-12-31,2018-12-31,2019-04-30,0.028,L
26710,2018-12-31,2019-03-31,2019-05-31,0.017,L
26710,2018-12-31,2019-03-31,2019-06-30,0.017,L
26710,2018-12-31,2019-03-31,2019-07-31,0.017,L
26710,2018-12-31,2019-06-30,2019-08-31,0.017,L
26710,2018-12-31,2019-06-30,2019-09-30,0.017,L
26710,2018-12-31,2019-06-30,2019-10-31,0.017,L
26710,2018-12-31,2019-09-30,2019-11-30,0.014,L
26710,2018-12-31,2019-09-30,2019-12-31,0.014,L
26710,2018-12-31,2019-09-30,2020-01-31,0.014,L
26710,2019-12-31,2019-12-31,2020-02-29,0.030,L
26710,2019-12-31,2019-12-31,2020-03-31,0.030,L
26710,2019-12-31,2019-12-31,2020-04-30,0.030,L
26710,2019-12-31,2020-03-31,2020-05-31,0.001,L
26710,2019-12-31,2020-03-31,2020-06-30,0.001,L
26710,2019-12-31,2020-03-31,2020-07-31,0.001,L
26710,2019-12-31,2020-06-30,2020-08-31,-0.001,L
26710,2019-12-31,2020-06-30,2020-09-30,-0.001,L
26710,2019-12-31,2020-06-30,2020-10-31,-0.001,L
26710,2019-12-31,2020-09-30,2020-11-30,0.001,L
26710,2019-12-31,2020-09-30,2020-12-31,0.001,L
26710,2019-12-31,2020-09-30,2021-01-31,0.001,L
26710,2020-12-31,2020-12-31,2021-02-28,0.011,L
26710,2020-12-31,2020-12-31,2021-03-31,0.011,L
26710,2020-12-31,2020-12-31,2021-04-30,0.011,L
26710,2020-12-31,2021-03-31,2021-05-31,0.021,L
26710,2020-12-31,2021-03-31,2021-06-30,0.021,L
26710,2020-12-31,2021-03-31,2021-07-31,0.021,L
26710,2020-12-31,2021-06-30,2021-08-31,0.024,L
26710,2020-12-31,2021-06-30,2021-09-30,0.024,L
26710,2020-12-31,2021-06-30,2021-10-31,0.024,L
26710,2020-12-31,2021-09-30,2021-11-30,0.026,L
26710,2020-12-31,2021-09-30,2021-12-31,0.026,L
26710,2020-12-31,2021-09-30,2022-01-31,0.026,L
26710,2021-12-31,2021-12-31,2022-02-28,0.026,L
26710,2021-12-31,2021-12-31,2022-03-31,0.026,L
26710,2021-12-31,2021-12-31,2022-04-30,0.026,L
26710,2021-12-31,2022-03-31,2022-05-31,0.024,L
26710,2021-12-31,2022-03-31,2022-06-30,0.024,L
26710,2021-12-31,2022-03-31,2022-07-31,0.024,L
26710,2021-12-31,2022-06-30,2022-08-31,0.023,L
26710,2021-12-31,2022-06-30,2022-09-30,0.023,L
26710,2021-12-31,2022-06-30,2022-10-31,0.023,L
26710,2021-12-31,2022-09-30,2022-11-30,0.024,L
26710,2021-12-31,2022-09-30,2022-12-31,0.024,L
26825,2008-12-31,2009-09-30,2010-01-31,0.518,K
26825,2009-12-31,2009-12-31,2010-02-28,0.524,K
26825,2009-12-31,2009-12-31,2010-03-31,0.524,K
26825,2009-12-31,2009-12-31,2010-04-30,0.524,K
26825,2009-12-31,2010-03-31,2010-05-31,0.528,K
26825,2009-12-31,2010-03-31,2010-06-30,0.528,K
26825,2009-12-31,2010-03-31,2010-07-31,0.528,K
