PERMNO,date,TICKER,PRC,VOL
61399,2020-12-18,LOW,163.20000,11916925
61399,2020-12-21,LOW,164.33000,5153058
61399,2020-12-22,LOW,164.61000,3275626
61399,2020-12-23,LOW,162.42999,3613660
61399,2020-12-24,LOW,162.77000,1044638
61399,2020-12-28,LOW,162.03999,2634983
61399,2020-12-29,LOW,160.53999,3326108
61399,2020-12-30,LOW,160.56000,3227031
61399,2020-12-31,LOW,160.50999,2335557
61399,2021-01-04,LOW,160.38000,7243433
61399,2021-01-05,LOW,160.92000,3911928
61399,2021-01-06,LOW,163.07001,4937017
61399,2021-01-07,LOW,163.71001,4144388
61399,2021-01-08,LOW,165.05000,4971508
61399,2021-01-11,LOW,166.32001,3005368
61399,2021-01-12,LOW,168.99001,4036911
61399,2021-01-13,LOW,169.83000,3291825
61399,2021-01-14,LOW,170.39000,4090919
61399,2021-01-15,LOW,171.34000,3727244
61399,2021-01-19,LOW,170.75999,4683073
61399,2021-01-20,LOW,172.39000,3899972
61399,2021-01-21,LOW,172.34000,5323189
61399,2021-01-22,LOW,172.39999,3612323
61399,2021-01-25,LOW,174.10001,4764237
61399,2021-01-26,LOW,173.70000,2496297
61399,2021-01-27,LOW,167.71001,4762674
61399,2021-01-28,LOW,172.34000,3816635
61399,2021-01-29,LOW,166.85001,4400488
61399,2021-02-01,LOW,163.37000,3898535
61399,2021-02-02,LOW,166.66000,3182202
61399,2021-02-03,LOW,169.88000,2996757
61399,2021-02-04,LOW,173.03000,2679813
61399,2021-02-05,LOW,175.03000,2562845
61399,2021-02-08,LOW,179.17000,3422083
61399,2021-02-09,LOW,177.78000,2724077
61399,2021-02-10,LOW,177.24001,2837880
61399,2021-02-11,LOW,175.73000,2783923
61399,2021-02-12,LOW,177.16000,2035571
61399,2021-02-16,LOW,174.06000,2947651
61399,2021-02-17,LOW,177.13000,2278889
61399,2021-02-18,LOW,177.16000,2758921
61399,2021-02-19,LOW,177.53999,2841998
61399,2021-02-22,LOW,172.41000,3767706
61399,2021-02-23,LOW,168.59000,5149516
61399,2021-02-24,LOW,162.31000,9972310
61399,2021-02-25,LOW,158.52000,6639320
