PERMNO,date,TICKER,PRC
75154,2011-05-31,CCL,38.81000
75154,2011-06-30,CCL,37.63000
75154,2011-07-29,CCL,33.30000
75154,2011-08-31,CCL,33.03000
75154,2011-09-30,CCL,30.30000
75154,2011-10-31,CCL,35.21000
75154,2011-11-30,CCL,33.20000
75154,2011-12-30,CCL,32.64000
75154,2012-01-31,CCL,30.20000
75154,2012-02-29,CCL,30.29000
75154,2012-03-30,CCL,32.08000
75154,2012-04-30,CCL,32.49500
75154,2012-05-31,CCL,32.09000
75154,2012-06-29,CCL,34.27000
75154,2012-07-31,CCL,33.28000
75154,2012-08-31,CCL,34.68000
75154,2012-09-28,CCL,36.43000
75154,2012-10-31,CCL,37.87000
75154,2012-11-30,CCL,38.66000
75154,2012-12-31,CCL,36.77000
75154,2013-01-31,CCL,38.72000
75154,2013-02-28,CCL,35.77000
75154,2013-03-28,CCL,34.30000
75154,2013-04-30,CCL,34.51000
75154,2013-05-31,CCL,33.10000
75154,2013-06-28,CCL,34.29000
75154,2013-07-31,CCL,37.03000
75154,2013-08-30,CCL,36.09000
75154,2013-09-30,CCL,32.64000
75154,2013-10-31,CCL,34.65000
75154,2013-11-29,CCL,36.11000
75154,2013-12-31,CCL,40.17000
75154,2014-01-31,CCL,39.19000
75154,2014-02-28,CCL,39.66000
75154,2014-03-31,CCL,37.86000
75154,2014-04-30,CCL,39.31000
75154,2014-05-30,CCL,40.03000
75154,2014-06-30,CCL,37.65000
75154,2014-07-31,CCL,36.22000
75154,2014-08-29,CCL,37.88000
75154,2014-09-30,CCL,40.17000
75154,2014-10-31,CCL,40.15000
75154,2014-11-28,CCL,44.16000
75154,2014-12-31,CCL,45.33000
75154,2015-01-30,CCL,43.96000
75154,2015-02-27,CCL,43.99000
75154,2015-03-31,CCL,47.84000
75154,2015-04-30,CCL,43.97000
75154,2015-05-29,CCL,46.33000
75154,2015-06-30,CCL,49.39000
75154,2015-07-31,CCL,53.29000
75154,2015-08-31,CCL,49.23000
75154,2015-09-30,CCL,49.70000
75154,2015-10-30,CCL,54.08000
75154,2015-11-30,CCL,50.53000
75154,2015-12-31,CCL,54.48000
75154,2016-01-29,CCL,48.13000
75154,2016-02-29,CCL,47.96000
75154,2016-03-31,CCL,52.77000
75154,2016-04-29,CCL,49.05000
75154,2016-05-31,CCL,47.74000
75154,2016-06-30,CCL,44.20000
75154,2016-07-29,CCL,46.72000
75154,2016-08-31,CCL,47.80000
75154,2016-09-30,CCL,48.82000
75154,2016-10-31,CCL,49.10000
75154,2016-11-30,CCL,51.41000
75154,2016-12-30,CCL,52.06000
75154,2017-01-31,CCL,55.38000
75154,2017-02-28,CCL,55.95000
75154,2017-03-31,CCL,58.91000
75154,2017-04-28,CCL,61.77000
75154,2017-05-31,CCL,64.07000
75154,2017-06-30,CCL,65.57000
75154,2017-07-31,CCL,66.78000
75154,2017-08-31,CCL,69.48000
75154,2017-09-29,CCL,64.57000
75154,2017-10-31,CCL,66.39000
75154,2017-11-30,CCL,65.64000
75154,2017-12-29,CCL,66.37000
75154,2018-01-31,CCL,71.61000
75154,2018-02-28,CCL,66.91000
75154,2018-03-29,CCL,65.58000
75154,2018-04-30,CCL,63.06000
75154,2018-05-31,CCL,62.28000
75154,2018-06-29,CCL,57.31000
75154,2018-07-31,CCL,59.24000
75154,2018-08-31,CCL,61.49000
75154,2018-09-28,CCL,63.77000
75154,2018-10-31,CCL,56.04000
75154,2018-11-30,CCL,60.29000
75154,2018-12-31,CCL,49.30000
75154,2019-01-31,CCL,57.58000
75154,2019-02-28,CCL,57.76000
75154,2019-03-29,CCL,50.72000
75154,2019-04-30,CCL,54.86000
75154,2019-05-31,CCL,51.19000
75154,2019-06-28,CCL,46.55000
75154,2019-07-31,CCL,47.23000
75154,2019-08-30,CCL,44.08000
75154,2019-09-30,CCL,43.71000
75154,2019-10-31,CCL,42.89000
75154,2019-11-29,CCL,45.08000
75154,2019-12-31,CCL,50.83000
75154,2020-01-31,CCL,43.53000
75154,2020-02-28,CCL,33.46000
75154,2020-03-31,CCL,13.17000
75154,2020-04-30,CCL,15.90000
75154,2020-05-29,CCL,15.74000
75154,2020-06-30,CCL,16.42000
75154,2020-07-31,CCL,13.88000
75154,2020-08-31,CCL,16.48000
75154,2020-09-30,CCL,15.18000
75154,2020-10-30,CCL,13.71000
75154,2020-11-30,CCL,19.98000
75154,2020-12-31,CCL,21.66000
75154,2021-01-29,CCL,18.67000
75154,2021-02-26,CCL,26.75000
75154,2021-03-31,CCL,26.54000
75154,2021-04-30,CCL,27.96000
75154,2021-05-28,CCL,29.56000
75154,2021-06-30,CCL,26.36000
75154,2021-07-30,CCL,21.65000
75154,2021-08-31,CCL,24.14000
75154,2021-09-30,CCL,25.01000
